Season,Home_Team,Away_Team,Home_Score,Away_Score,Home_Goal_Diff,Away_Goal_Diff,Home_Last_5_Wins,Away_Last_5_Wins,Result_Encoded,Home_Last_5_Points,Away_Last_5_Points,H2H_Home_Wins,H2H_Home_Losses,H2H_Away_Wins,H2H_Away_Losses,H2H_Draws
2012,Elman FC,Badbaado FC,3,1,2,-2,1,0,1,3,2,3,0,0,3,1
2012,Sahafi FC,Jeenyo FC,1,1,0,0,1,0,0,5,2,0,3,3,0,3
2012,Heegan SC,Dekedda SC,1,1,0,0,2,3,0,7,10,6,6,6,6,6
2012,Mogadishu City Club,Horseed SC,1,1,0,0,3,4,0,11,13,8,3,3,8,7
2012,Jeenyo FC,Elman FC,1,1,0,0,3,1,0,9,5,5,4,4,5,7
2012,Badbaado FC,Dekedda SC,2,3,-1,1,0,3,-1,0,10,0,3,3,0,1
2012,Sahafi FC,Horseed SC,1,1,0,0,1,4,0,5,13,0,3,3,0,3
2012,Heegan SC,Mogadishu City Club,3,2,1,-1,2,1,1,7,6,3,6,6,3,8
2012,Elman FC,Dekedda SC,4,0,4,-4,1,3,1,3,10,7,7,7,7,3
2012,Jeenyo FC,Horseed SC,0,0,0,0,3,4,0,9,13,7,6,6,7,3
2012,Badbaado FC,Mogadishu City Club,0,3,-3,3,0,1,-1,0,6,0,3,3,0,1
2012,Sahafi FC,Heegan SC,0,1,-1,1,1,3,-1,5,11,1,3,3,1,2
2012,Horseed SC,Elman FC,1,3,-2,2,3,1,-1,11,5,6,6,6,6,5
2012,Dekedda SC,Mogadishu City Club,1,1,0,0,1,1,0,5,6,6,5,5,6,6
2012,Jeenyo FC,Heegan SC,0,0,0,0,3,3,0,9,11,2,7,7,2,7
2012,Badbaado FC,Sahafi FC,0,1,-1,1,0,0,-1,0,1,0,6,6,0,0
2012,Elman FC,Mogadishu City Club,1,1,0,0,1,1,0,3,6,2,7,7,2,9
2012,Horseed SC,Heegan SC,2,2,0,0,3,3,0,11,11,3,6,6,3,8
2012,Dekedda SC,Sahafi FC,0,0,0,0,1,0,0,5,1,4,0,0,4,2
2012,Jeenyo FC,Badbaado FC,4,0,4,-4,3,0,1,9,2,4,0,0,4,0
2012,Heegan SC,Elman FC,0,3,-3,3,2,1,-1,7,5,6,6,6,6,6
2012,Mogadishu City Club,Sahafi FC,1,0,1,-1,3,0,1,11,1,4,0,0,4,2
2012,Horseed SC,Badbaado FC,2,0,2,-2,3,0,1,11,2,4,0,0,4,0
2012,Dekedda SC,Jeenyo FC,1,1,0,0,1,0,0,5,2,8,4,4,8,4
2012,Elman FC,Sahafi FC,2,1,1,-1,1,0,1,3,1,4,2,2,4,0
