date,home,score,away
04/06/2012 , Elman FC , 3 : 1 , Badbaado FC 
05/06/2012 , Sahafi FC , 1 : 1 , Jeenyo  FC 
07/06/2012 , Heegan S.C , 1 : 1 , Dekedda SC 
08/06/2012 , Mogadishu City Club , 1 : 1 , Horseed S.C 
11/06/2012 , Jeenyo  FC , 1 : 1 , Elman FC 
12/06/2012 , Badbaado FC , 2 : 3 , Dekedda SC 
14/06/2012 , Sahafi FC , 1 : 1 , Horseed S.C 
15/06/2012 , Heegan S.C , 3 : 2 , Mogadishu City Club 
18/06/2012 , Elman FC , 4 : 0 , Dekedda SC 
19/06/2012 , Jeenyo  FC , 0 : 0 , Horseed S.C 
21/06/2012 , Badbaado FC , 0 : 3 , Mogadishu City Club 
22/06/2012 , Sahafi FC , 0 : 1 , Heegan S.C 
25/06/2012 , Horseed S.C , 1 : 3 , Elman FC 
26/06/2012 , Dekedda SC , 1 : 1 , Mogadishu City Club 
28/06/2012 , Jeenyo  FC , 0 : 0 , Heegan S.C 
29/06/2012 , Badbaado FC , 0 : 1 , Sahafi FC 
02/07/2012 , Elman FC , 1 : 1 , Mogadishu City Club 
03/07/2012 , Horseed S.C , 2 : 2 , Heegan S.C 
04/07/2012 , Dekedda SC , 0 : 0 , Sahafi FC 
05/07/2012 , Jeenyo  FC , 4 : 0 , Badbaado FC 
06/07/2012 , Heegan S.C , 0 : 3 , Elman FC 
09/07/2012 , Mogadishu City Club , 1 : 0 , Sahafi FC 
10/07/2012 , Horseed S.C , 2 : 0 , Badbaado FC 
11/07/2012 , Dekedda SC , 1 : 1 , Jeenyo  FC 
12/07/2012 , Elman FC , 2 : 1 , Sahafi FC 
13/07/2012 , Heegan S.C , 3 : 1 , Badbaado FC 
16/07/2012 , Mogadishu City Club , 1 : 1 , Jeenyo  FC 
17/07/2012 , Horseed S.C , 2 : 1 , Dekedda SC 
27/09/2012 , Badbaado FC , 2 : 5 , Elman FC 
28/09/2012 , Jeenyo  FC , 1 : 1 , Sahafi FC 
29/09/2012 , Dekedda SC , 2 : 4 , Heegan S.C 
30/09/2012 , Horseed S.C , 0 : 2 , Mogadishu City Club 
02/10/2012 , Elman FC , 1 : 2 , Jeenyo  FC 
03/10/2012 , Dekedda SC , 5 : 1 , Badbaado FC 
04/10/2012 , Horseed S.C , 0 : 0 , Sahafi FC 
05/10/2012 , Mogadishu City Club , 1 : 1 , Heegan S.C 
08/10/2012 , Dekedda SC , 2 : 3 , Elman FC 
09/10/2012 , Horseed S.C , 1 : 2 , Jeenyo  FC 
10/10/2012 , Mogadishu City Club , 2 : 2 , Badbaado FC 
11/10/2012 , Heegan S.C , 2 : 0 , Sahafi FC 
12/10/2012 , Elman FC , 2 : 0 , Horseed S.C 
15/10/2012 , Mogadishu City Club , 1 : 2 , Dekedda SC 
16/10/2012 , Heegan S.C , 0 : 1 , Jeenyo  FC 
17/10/2012 , Sahafi FC , 2 : 1 , Badbaado FC 
18/10/2012 , Mogadishu City Club , 1 : 2 , Elman FC 
19/10/2012 , Heegan S.C , 1 : 0 , Horseed S.C 
22/10/2012 , Sahafi FC , 0 : 0 , Dekedda SC 
23/10/2012 , Badbaado FC , 1 : 3 , Jeenyo  FC 
24/10/2012 , Elman FC , 1 : 3 , Heegan S.C 
25/10/2012 , Sahafi FC , 0 : 0 , Mogadishu City Club 
26/10/2012 , Badbaado FC , 0 : 1 , Horseed S.C 
27/10/2012 , Jeenyo  FC , 1 : 1 , Dekedda SC 
28/10/2012 , Sahafi FC , 0 : 2 , Elman FC 
29/10/2012 , Badbaado FC , 0 : 3 , Heegan S.C 
30/10/2012 , Jeenyo  FC , 1 : 0 , Mogadishu City Club 
31/10/2012 , Dekedda SC , 2 : 2 , Horseed S.C 
19/04/2013 , Albeder , 0 : 0 , Ummah Hospital 
22/04/2013 , Sahafi FC , 1 : 0 , Badbaado FC 
24/04/2013 , SomaliFruit FC , 2 : 0 , Gantaalaha Afgooye FC 
26/04/2013 , Madbacadda FC , 0 : 0 , 
29/04/2013 , Badbaado FC , 1 : 1 , Albeder 
01/05/2013 , Ummah Hospital , 2 : 1 , Gantaalaha Afgooye FC 
03/05/2013 , Sahafi FC , 2 : 2 , 
06/05/2013 , SomaliFruit FC , 2 : 3 , Madbacadda FC 
08/05/2013 , Albeder , 3 : 2 , Gantaalaha Afgooye FC 
10/05/2013 , Badbaado FC , 0 : 1 , 
13/05/2013 , Ummah Hospital , 2 : 0 , Madbacadda FC 
15/05/2013 , Sahafi FC , 3 : 1 , SomaliFruit FC 
17/05/2013 , , 2 : 2 , Albeder 
20/05/2013 , Gantaalaha Afgooye FC , 1 : 0 , Madbacadda FC 
22/05/2013 , Badbaado FC , 0 : 5 , SomaliFruit FC 
24/05/2013 , Ummah Hospital , 3 : 1 , Sahafi FC 
27/05/2013 , Albeder , 0 : 1 , Madbacadda FC 
29/05/2013 , , 0 : 0 , SomaliFruit FC 
31/05/2013 , Gantaalaha Afgooye FC , 0 : 3 , Sahafi FC 
03/06/2013 , Badbaado FC , 1 : 1 , Ummah Hospital 
05/06/2013 , SomaliFruit FC , 1 : 1 , Albeder 
07/06/2013 , Madbacadda FC , 1 : 1 , Sahafi FC 
10/06/2013 , , 2 : 2 , Ummah Hospital 
