date,home,score,away,home_score,away_score
04/06/2012 , Elman FC ,3 : 1, Badbaado FC ,3.0,1.0
05/06/2012 , Sahafi FC ,1 : 1, Jeenyo  FC ,1.0,1.0
07/06/2012 , Heegan S.C ,1 : 1, Dekedda SC ,1.0,1.0
08/06/2012 , Mogadishu City Club ,1 : 1, Horseed S.C ,1.0,1.0
11/06/2012 , Jeenyo  FC ,1 : 1, Elman FC ,1.0,1.0
12/06/2012 , Badbaado FC ,2 : 3, Dekedda SC ,2.0,3.0
14/06/2012 , Sahafi FC ,1 : 1, Horseed S.C ,1.0,1.0
15/06/2012 , Heegan S.C ,3 : 2, Mogadishu City Club ,3.0,2.0
18/06/2012 , Elman FC ,4 : 0, Dekedda SC ,4.0,0.0
19/06/2012 , Jeenyo  FC ,0 : 0, Horseed S.C ,0.0,0.0
21/06/2012 , Badbaado FC ,0 : 3, Mogadishu City Club ,0.0,3.0
22/06/2012 , Sahafi FC ,0 : 1, Heegan S.C ,0.0,1.0
25/06/2012 , Horseed S.C ,1 : 3, Elman FC ,1.0,3.0
26/06/2012 , Dekedda SC ,1 : 1, Mogadishu City Club ,1.0,1.0
28/06/2012 , Jeenyo  FC ,0 : 0, Heegan S.C ,0.0,0.0
29/06/2012 , Badbaado FC ,0 : 1, Sahafi FC ,0.0,1.0
02/07/2012 , Elman FC ,1 : 1, Mogadishu City Club ,1.0,1.0
03/07/2012 , Horseed S.C ,2 : 2, Heegan S.C ,2.0,2.0
04/07/2012 , Dekedda SC ,0 : 0, Sahafi FC ,0.0,0.0
05/07/2012 , Jeenyo  FC ,4 : 0, Badbaado FC ,4.0,0.0
06/07/2012 , Heegan S.C ,0 : 3, Elman FC ,0.0,3.0
09/07/2012 , Mogadishu City Club ,1 : 0, Sahafi FC ,1.0,0.0
10/07/2012 , Horseed S.C ,2 : 0, Badbaado FC ,2.0,0.0
11/07/2012 , Dekedda SC ,1 : 1, Jeenyo  FC ,1.0,1.0
12/07/2012 , Elman FC ,2 : 1, Sahafi FC ,2.0,1.0
13/07/2012 , Heegan S.C ,3 : 1, Badbaado FC ,3.0,1.0
16/07/2012 , Mogadishu City Club ,1 : 1, Jeenyo  FC ,1.0,1.0
17/07/2012 , Horseed S.C ,2 : 1, Dekedda SC ,2.0,1.0
27/09/2012 , Badbaado FC ,2 : 5, Elman FC ,2.0,5.0
28/09/2012 , Jeenyo  FC ,1 : 1, Sahafi FC ,1.0,1.0
29/09/2012 , Dekedda SC ,2 : 4, Heegan S.C ,2.0,4.0
30/09/2012 , Horseed S.C ,0 : 2, Mogadishu City Club ,0.0,2.0
02/10/2012 , Elman FC ,1 : 2, Jeenyo  FC ,1.0,2.0
03/10/2012 , Dekedda SC ,5 : 1, Badbaado FC ,5.0,1.0
04/10/2012 , Horseed S.C ,0 : 0, Sahafi FC ,0.0,0.0
05/10/2012 , Mogadishu City Club ,1 : 1, Heegan S.C ,1.0,1.0
08/10/2012 , Dekedda SC ,2 : 3, Elman FC ,2.0,3.0
09/10/2012 , Horseed S.C ,1 : 2, Jeenyo  FC ,1.0,2.0
10/10/2012 , Mogadishu City Club ,2 : 2, Badbaado FC ,2.0,2.0
11/10/2012 , Heegan S.C ,2 : 0, Sahafi FC ,2.0,0.0
12/10/2012 , Elman FC ,2 : 0, Horseed S.C ,2.0,0.0
15/10/2012 , Mogadishu City Club ,1 : 2, Dekedda SC ,1.0,2.0
16/10/2012 , Heegan S.C ,0 : 1, Jeenyo  FC ,0.0,1.0
17/10/2012 , Sahafi FC ,2 : 1, Badbaado FC ,2.0,1.0
18/10/2012 , Mogadishu City Club ,1 : 2, Elman FC ,1.0,2.0
