Season,Date,Home_Team,Away_Team,Home_Score,Away_Score,Home_Goal_Diff,Away_Goal_Diff,Result,Home_Last_5_Wins,Away_Last_5_Wins
2012,2012-06-04, Elman FC , Badbaado FC ,3,1,2,-2,Win,0,0
2012,2012-06-05, Sahafi FC , Jeenyo  FC ,1,1,0,0,Draw,0,0
2012,2012-06-07, Heegan S.C , Dekedda SC ,1,1,0,0,Draw,0,0
2012,2012-06-08, Mogadishu City Club , Horseed S.C ,1,1,0,0,Draw,0,0
2012,2012-06-11, Jeenyo  FC , Elman FC ,1,1,0,0,Draw,0,1
2012,2012-06-12, Badbaado FC , Dekedda SC ,2,3,-1,1,Loss,0,0
2012,2012-06-14, Sahafi FC , Horseed S.C ,1,1,0,0,Draw,0,0
2012,2012-06-15, Heegan S.C , Mogadishu City Club ,3,2,1,-1,Win,0,0
2012,2012-06-18, Elman FC , Dekedda SC ,4,0,4,-4,Win,1,1
2012,2012-06-19, Jeenyo  FC , Horseed S.C ,0,0,0,0,Draw,0,0
2012,2012-06-21, Badbaado FC , Mogadishu City Club ,0,3,-3,3,Loss,0,0
2012,2012-06-22, Sahafi FC , Heegan S.C ,0,1,-1,1,Loss,0,1
2012,2012-06-25, Horseed S.C , Elman FC ,1,3,-2,2,Loss,0,2
2012,2012-06-26, Dekedda SC , Mogadishu City Club ,1,1,0,0,Draw,1,1
2012,2012-06-28, Jeenyo  FC , Heegan S.C ,0,0,0,0,Draw,0,2
2012,2012-06-29, Badbaado FC , Sahafi FC ,0,1,-1,1,Loss,0,0
2012,2012-07-02, Elman FC , Mogadishu City Club ,1,1,0,0,Draw,3,1
2012,2012-07-03, Horseed S.C , Heegan S.C ,2,2,0,0,Draw,0,2
2012,2012-07-04, Dekedda SC , Sahafi FC ,0,0,0,0,Draw,1,1
2012,2012-07-05, Jeenyo  FC , Badbaado FC ,4,0,4,-4,Win,0,0
2012,2012-07-06, Heegan S.C , Elman FC ,0,3,-3,3,Loss,2,3
2012,2012-07-09, Mogadishu City Club , Sahafi FC ,1,0,1,-1,Win,1,1
2012,2012-07-10, Horseed S.C , Badbaado FC ,2,0,2,-2,Win,0,0
2012,2012-07-11, Dekedda SC , Jeenyo  FC ,1,1,0,0,Draw,1,1
2012,2012-07-12, Elman FC , Sahafi FC ,2,1,1,-1,Win,3,1
2012,2012-07-13, Heegan S.C , Badbaado FC ,3,1,2,-2,Win,2,0
2012,2012-07-16, Mogadishu City Club , Jeenyo  FC ,1,1,0,0,Draw,2,1
2012,2012-07-17, Horseed S.C , Dekedda SC ,2,1,1,-1,Win,1,1
2012,2012-09-27, Badbaado FC , Elman FC ,2,5,-3,3,Loss,0,4
2012,2012-09-28, Jeenyo  FC , Sahafi FC ,1,1,0,0,Draw,1,1
2012,2012-09-29, Dekedda SC , Heegan S.C ,2,4,-2,2,Loss,0,2
2012,2012-09-30, Horseed S.C , Mogadishu City Club ,0,2,-2,2,Loss,2,2
2012,2012-10-02, Elman FC , Jeenyo  FC ,1,2,-1,1,Loss,4,1
2012,2012-10-03, Dekedda SC , Badbaado FC ,5,1,4,-4,Win,0,0
2012,2012-10-04, Horseed S.C , Sahafi FC ,0,0,0,0,Draw,2,1
2012,2012-10-05, Mogadishu City Club , Heegan S.C ,1,1,0,0,Draw,2,2
2012,2012-10-08, Dekedda SC , Elman FC ,2,3,-1,1,Loss,1,3
2012,2012-10-09, Horseed S.C , Jeenyo  FC ,1,2,-1,1,Loss,2,2
2012,2012-10-10, Mogadishu City Club , Badbaado FC ,2,2,0,0,Draw,2,0
2012,2012-10-11, Heegan S.C , Sahafi FC ,2,0,2,-2,Win,2,0
2012,2012-10-12, Elman FC , Horseed S.C ,2,0,2,-2,Win,4,2
2012,2012-10-15, Mogadishu City Club , Dekedda SC ,1,2,-1,1,Loss,2,1
2012,2012-10-16, Heegan S.C , Jeenyo  FC ,0,1,-1,1,Loss,3,2
2012,2012-10-17, Sahafi FC , Badbaado FC ,2,1,1,-1,Win,0,0
2012,2012-10-18, Mogadishu City Club , Elman FC ,1,2,-1,1,Loss,1,4
2012,2012-10-19, Heegan S.C , Horseed S.C ,1,0,1,-1,Win,3,1
2012,2012-10-22, Sahafi FC , Dekedda SC ,0,0,0,0,Draw,1,2
2012,2012-10-23, Badbaado FC , Jeenyo  FC ,1,3,-2,2,Loss,0,3
2012,2012-10-24, Elman FC , Heegan S.C ,1,3,-2,2,Loss,4,3
2012,2012-10-25, Sahafi FC , Mogadishu City Club ,0,0,0,0,Draw,1,1
2012,2012-10-26, Badbaado FC , Horseed S.C ,0,1,-1,1,Loss,0,0
2012,2012-10-27, Jeenyo  FC , Dekedda SC ,1,1,0,0,Draw,4,2
2012,2012-10-28, Sahafi FC , Elman FC ,0,2,-2,2,Loss,1,3
2012,2012-10-29, Badbaado FC , Heegan S.C ,0,3,-3,3,Loss,0,3
2012,2012-10-30, Jeenyo  FC , Mogadishu City Club ,1,0,1,-1,Win,4,0
2012,2012-10-31, Dekedda SC , Horseed S.C ,2,2,0,0,Draw,2,1
2013,2013-04-19, Albeder , Ummah Hospital ,0,0,0,0,Draw,0,0
2013,2013-04-21, Geeska Afrika FC , Midnimo FC ,2,1,1,-1,Win,0,0
2013,2013-04-22, Sahafi FC , Badbaado FC ,1,0,1,-1,Win,1,0
2013,2013-04-23, Bariga Dhexe , Jazeera SC ,2,1,1,-1,Win,0,0
2013,2013-04-24, SomaliFruit FC , Gantaalaha Afgooye FC ,2,0,2,-2,Win,0,0
2013,2013-04-25, Waxool FC , ,6,0,6,-6,Win,0,0
2013,2013-04-26, Madbacadda FC , ,0,0,0,0,Draw,0,0
2013,2013-04-28, Raadsan FC , Gasko FC ,4,2,2,-2,Win,0,0
2013,2013-04-29, Badbaado FC , Albeder ,1,1,0,0,Draw,0,0
2013,2013-04-30, Jamhuuriya FC , Jazeera SC ,2,3,-1,1,Loss,0,0
2013,2013-05-01, Ummah Hospital , Gantaalaha Afgooye FC ,2,1,1,-1,Win,0,0
2013,2013-05-02, Geeska Afrika FC , ,2,1,1,-1,Win,1,0
2013,2013-05-03, Sahafi FC , ,2,2,0,0,Draw,2,0
2013,2013-05-05, Bariga Dhexe , Gasko FC ,6,0,6,-6,Win,1,0
2013,2013-05-06, SomaliFruit FC , Madbacadda FC ,2,3,-1,1,Loss,1,0
2013,2013-05-07, Waxool FC , Raadsan FC ,1,1,0,0,Draw,1,1
2013,2013-05-08, Albeder , Gantaalaha Afgooye FC ,3,2,1,-1,Win,0,0
2013,2013-05-09, Midnimo FC , ,2,0,2,-2,Win,0,0
2013,2013-05-10, Badbaado FC , ,0,1,-1,1,Loss,0,0
