Season,Home_Team,Away_Team,Home_Score,Away_Score,Home_Goal_Diff,Away_Goal_Diff,Home_Last_5_Wins,Away_Last_5_Wins,H2H_Home_Wins,H2H_Home_Losses,H2H_Away_Wins,H2H_Away_Losses,H2H_Draws,Result_Encoded,Home_Form,Away_Form
2012, Elman FC , Badbaado FC ,3,1,2,-2,0,0,0,0,0,0,0,1,3.0,2.0
2012, Sahafi FC , Jeenyo  FC ,1,1,0,0,0,0,0,0,0,0,0,0,5.0,2.0
2012, Heegan S.C , Dekedda SC ,1,1,0,0,0,0,0,0,0,0,0,0,7.0,10.0
2012, Mogadishu City Club , Horseed S.C ,1,1,0,0,0,0,0,0,0,0,0,0,11.0,13.0
2012, Jeenyo  FC , Elman FC ,1,1,0,0,0,1,0,0,0,0,0,0,9.0,5.0
2012, Badbaado FC , Dekedda SC ,2,3,-1,1,0,0,0,0,0,0,0,-1,0.0,10.0
2012, Sahafi FC , Horseed S.C ,1,1,0,0,0,0,0,0,0,0,0,0,5.0,13.0
2012, Heegan S.C , Mogadishu City Club ,3,2,1,-1,0,0,0,0,0,0,0,1,7.0,6.0
2012, Elman FC , Dekedda SC ,4,0,4,-4,1,1,0,0,0,0,0,1,3.0,10.0
2012, Jeenyo  FC , Horseed S.C ,0,0,0,0,0,0,0,0,0,0,0,0,9.0,13.0
2012, Badbaado FC , Mogadishu City Club ,0,3,-3,3,0,0,0,0,0,0,0,-1,0.0,6.0
2012, Sahafi FC , Heegan S.C ,0,1,-1,1,0,1,0,0,0,0,0,-1,5.0,11.0
2012, Horseed S.C , Elman FC ,1,3,-2,2,0,2,0,0,0,0,0,-1,11.0,5.0
2012, Dekedda SC , Mogadishu City Club ,1,1,0,0,1,1,0,0,0,0,0,0,5.0,6.0
2012, Jeenyo  FC , Heegan S.C ,0,0,0,0,0,2,0,0,0,0,0,0,9.0,11.0
2012, Badbaado FC , Sahafi FC ,0,1,-1,1,0,0,0,0,0,0,0,-1,0.0,1.0
